Pubmed ID,Pathogen,Subtype,TaxonomyID,Mouse Genome,Lethal Dose 50 (LD50),Infection Unit,Two-class Virulence Level,Three-class Virulence Level
20181710,A/South Carolina/1/1918,H1N1,59375,BALB/c,3.5 (P.E.),EID50,Virulent,Intermediate
29960799,A/Puerto Rico/8/1934,H1N1,211044,BALB/c,1.74 (P.E.),PFU,Virulent,High
27846859,A/Puerto Rico/8/1934,H1N1,211044,C57BL/6,3.4 (P.E.),EID50,Virulent,Intermediate
19293935,A/Puerto Rico/8/1934,H1N1,211044,DBA/2J,1.56 (P.E.),FFU,Virulent,High
19211766,A/New York/312/2001,H1N1,327172,BALB/c,5 (L.B.),PFU,Avirulent,Low
21917963,A/mallard/Alberta/35/1976,H1N1,352520,C57BL/6,6 (L.B.),PFU,Avirulent,Low
21917963,A/mallard/Alberta/35/1976,H1N1,352520,DBA/2,6 (L.B.),PFU,Avirulent,Low
29960799,A/Fort Monmouth/1/1947,H1N1,367120,BALB/c,1.18 (P.E.),PFU,Virulent,High
21917963,A/swine/Spain/53207/2004,H1N1,374443,C57BL/6,5.7 (P.E.),PFU,Virulent,Intermediate
21917963,A/swine/Spain/53207/2004,H1N1,374443,DBA/2,2.2 (P.E.),PFU,Virulent,High
20181710,A/New Jersey/8/1976,H1N1,379756,BALB/c,6 (L.B.),EID50,Avirulent,Low
21917963,A/New Caledonia/20/1999,H1N1,381512,C57BL/6,5.9 (P.E.),PFU,Virulent,Intermediate
21917963,A/New Caledonia/20/1999,H1N1,381512,DBA/2,4.3 (P.E.),PFU,Virulent,Intermediate
29960799,A/New Caledonia/20/1999,H1N1,381512,BALB/c,5.68 (P.E.),PFU,Virulent,Intermediate
18468740,A/Wilson-Smith/1933,H1N1,381518,BALB/c,2.3 (P.E.),PFU,Virulent,High
23027194,A/NWS/1933,H1N1,382819,BALB/c,4 (P.E.),CCID50,Virulent,Intermediate
20350372,A/swine/Iowa/4/1976,H1N1,437342,FVB/J,6 (L.B.),TCID50,Avirulent,Low
21703405,A/Solomon Islands/3/2006,H1N1,464623,BALB/c,6 (L.B.),PFU,Avirulent,Low
21917963,A/Solomon Islands/3/2006,H1N1,464623,C57BL/6,5.3 (L.B.),PFU,Avirulent,Low
21917963,A/Solomon Islands/3/2006,H1N1,464623,DBA/2,3.9 (P.E.),PFU,Virulent,High
21917963,A/Brisbane/59/2007,H1N1,504904,C57BL/6,6 (L.B.),PFU,Avirulent,Low
21917963,A/Brisbane/59/2007,H1N1,504904,DBA/2,5 (P.E.),PFU,Virulent,Intermediate
22321413,A/Lyon/1337/2007,H1N1,526904,Balb/cByJ,6 (L.B.),TCID50,Avirulent,Low
20181710,A/California/04/2009,H1N1,641501,BALB/c,6 (L.B.),EID50,Avirulent,Low
21917948,A/California/04/2009,H1N1,641501,BALB/c,5 (P.E.),TCID50,Virulent,Intermediate
29023600,A/California/04/2009,H1N1,641501,BALB/c,5 (P.E.),PFU,Virulent,Intermediate
20126449,A/Netherlands/602/2009,H1N1,643212,C57BL/6,4.2 (P.E.),PFU,Virulent,Intermediate
20976194,A/Netherlands/602/2009,H1N1,643212,BALB/c,6 (P.E.),TCID50,Virulent,Intermediate
21917963,A/Netherlands/602/2009,H1N1,643212,DBA/2,0.5 (P.E.),PFU,Virulent,High
20181710,A/Ohio/02/2007,H1N1,643704,BALB/c,5.8 (P.E.),EID50,Virulent,Intermediate
20181710,A/Mexico/InDRE4487/2009,H1N1,643780,BALB/c,6 (L.B.),EID50,Avirulent,Low
23799150,A/New York/1682/2009,H1N1,643960,BALB/cJ,6.78 (L.B.),TCID50,Avirulent,Low
20181710,A/Texas/15/2009,H1N1,644199,BALB/c,6 (L.B.),EID50,Avirulent,Low
24385366,A/Korea/01/2009,H1N1,644289,BALB/c,6 (L.B.),PFU,Avirulent,Low
24385366,A/Korea/01/2009,H1N1,644289,DBA/2,2.83 (P.E.),PFU,Virulent,High
20181710,A/Mexico/4108/2009,H1N1,644882,BALB/c,6 (L.B.),EID50,Avirulent,Low
20181710,A/Mexico/4482/2009,H1N1,644884,BALB/c,6 (L.B.),EID50,Avirulent,Low
26079133,A/Narita/1/2009,H1N1,645520,BALB/c,5 (L.B.),PFU,Avirulent,Low
20592084,A/Tennessee/1-560/2009,H1N1,646491,BALB/c,5 (P.E.),PFU,Virulent,Intermediate
29960799,A/Sichuan/1/2009,H1N1,647100,BALB/c,3.73 (P.E.),PFU,Virulent,Intermediate
21917963,A/swine/Kansas/77778/2007,H1N1,666651,C57BL/6,2.5 (P.E.),PFU,Virulent,High
21917963,A/swine/Kansas/77778/2007,H1N1,666651,DBA/2,1 (P.E.),PFU,Virulent,High
21703405,A/Hamburg/NY1580/2009,H1N1,710473,BALB/c,6 (L.B.),PFU,Avirulent,Low
21703405,A/Hamburg/NY1580/2009,H1N1,710473,C57BL/6J,3.5 (P.E.),PFU,Virulent,Intermediate
21703405,A/Hamburg/05/2009,H1N1,872290,BALB/c,6 (L.B.),PFU,Avirulent,Low
21703405,A/Hamburg/05/2009,H1N1,872290,C57BL/6J,5.2 (P.E.),PFU,Virulent,Intermediate
22321413,A/Lyon/48.425/2009,H1N1,990087,Balb/cByJ,6 (L.B.),TCID50,Avirulent,Low
22321413,A/Lyon/969/2009,H1N1,990089,Balb/cByJ,6 (L.B.),TCID50,Avirulent,Low
19672242,A/Kawasaki/UTK-4/2009,H1N1,1088752,BALB/c,6.6 (L.B.),PFU,Avirulent,Low
15470432,A/Kawasaki/173/2001,H1N1,1088753,BALB/c,7.4 (L.B.),PFU,Avirulent,Low
10364342,A/X-31,H3N2,132504,BALB/c,5.2 (L.B.),EID50,Avirulent,Low
15470432,A/Memphis/8/1988,H3N2,383588,BALB/c,6.2 (L.B.),PFU,Avirulent,Low
18468740,A/Aichi/2/68,H3N2,387139,BALB/c,5.85 (P.E.),PFU,Virulent,Intermediate
18468740,A/Philippines/2/1982,H3N2,382825,BALB/c,2.3 (P.E.),PFU,Virulent,High
21917963,A/Hong Kong/1/1968,H3N2,506350,C57BL/6,6 (L.B.),PFU,Avirulent,Low
