UniprotID,Protein,mFamilyID,mSuperfamily,mSCOP,Organ
P50220,NKX21_MOUSE,46689,Homeodomain-like,139-221,Lungs
P48437,PROX1_MOUSE,46689,Homeodomain-like,577-728,Lungs
P97474,PITX2_MOUSE,46689,Homeodomain-like,78-149,Lungs
Q8R1H0,HOP_MOUSE,46689,Homeodomain-like,9-66,Lungs
P53564,CUX1_MOUSE,46689,Homeodomain-like,1233-1297,Lungs
P09021,HXA5_MOUSE,46689,Homeodomain-like,179-254,Lungs
P50481,LHX3_MOUSE,46689,Homeodomain-like,157-220,Lungs
Q9WU42,NCOR2_MOUSE,46689,Homeodomain-like,414-479,Lungs
Q9WU42,NCOR2_MOUSE,46689,Homeodomain-like,608-658,Lungs
O70584,NKX28_MOUSE,46689,Homeodomain-like,63-138,Lungs
Q8CGV9,TSH3_MOUSE,46689,Homeodomain-like,894-961,Lungs
P43120,HHEX_MOUSE,46689,Homeodomain-like,126-197,Lungs
Q62233,SIX3_MOUSE,46689,Homeodomain-like,205-266,Brain
P80206,OTX2_MOUSE,46689,Homeodomain-like,16-98,Brain
Q6PGB8,SMCA1_MOUSE,46689,Homeodomain-like,903-1027,Brain
Q6PGB8,SMCA1_MOUSE,46689,Homeodomain-like,851-901,Brain
P62515,PO3F4_MOUSE,46689,Homeodomain-like,264-336,Brain
O35690,PHX2B_MOUSE,46689,Homeodomain-like,94-161,Brain
O35602,RX_MOUSE,46689,Homeodomain-like,131-199,Brain
P63015,PAX6_MOUSE,46689,Homeodomain-like,6-129,Brain
P63015,PAX6_MOUSE,46689,Homeodomain-like,191-269,Brain
P17208,PO4F1_MOUSE,46689,Homeodomain-like,353-415,Brain
Q8VI24,SATB2_MOUSE,46689,Homeodomain-like,610-673,Brain
P50220,NKX21_MOUSE,46689,Homeodomain-like,139-221,Brain
P48437,PROX1_MOUSE,46689,Homeodomain-like,577-728,Brain
O09113,OTP_MOUSE,46689,Homeodomain-like,88-164,Brain
Q02650,PAX5_MOUSE,46689,Homeodomain-like,18-140,Brain
O35984,PBX2_MOUSE,46689,Homeodomain-like,244-312,Brain
P09066,HME2_MOUSE,46689,Homeodomain-like,226-292,Brain
P97474,PITX2_MOUSE,46689,Homeodomain-like,78-149,Brain
P31361,PO3F3_MOUSE,46689,Homeodomain-like,400-462,Brain
P97458,PROP1_MOUSE,46689,Homeodomain-like,60-128,Brain
Q99NE9,PBX4_MOUSE,46689,Homeodomain-like,215-284,Brain
P80205,OTX1_MOUSE,46689,Homeodomain-like,17-97,Brain
P31360,PO3F2_MOUSE,46689,Homeodomain-like,341-414,Brain
P97368,MEIS3_MOUSE,46689,Homeodomain-like,265-337,Brain
Q2MHN3,ZFHX2_MOUSE,46689,Homeodomain-like,2045-2115,Brain
Q2MHN3,ZFHX2_MOUSE,46689,Homeodomain-like,1839-1908,Brain
Q2MHN3,ZFHX2_MOUSE,46689,Homeodomain-like,1571-1646,Brain
Q61329,ZFHX3_MOUSE,46689,Homeodomain-like,2637-2707,Brain
Q61329,ZFHX3_MOUSE,46689,Homeodomain-like,2248-2312,Brain
Q61329,ZFHX3_MOUSE,46689,Homeodomain-like,2943-3011,Brain
Q61329,ZFHX3_MOUSE,46689,Homeodomain-like,2151-2223,Brain
Q2NKI2,VAX1_MOUSE,46689,Homeodomain-like,94-158,Brain
O35317,PBX3_MOUSE,46689,Homeodomain-like,235-303,Brain
P13297,MSX1_MOUSE,46689,Homeodomain-like,154-231,Brain
Q80TZ9,RERE_MOUSE,46689,Homeodomain-like,380-441,Brain
Q62066,PHX2A_MOUSE,46689,Homeodomain-like,84-153,Brain
Q9R0G7,ZEB2_MOUSE,46689,Homeodomain-like,653-698,Brain
Q9WTP9,VAX2_MOUSE,46689,Homeodomain-like,96-161,Brain
P41778,PBX1_MOUSE,46689,Homeodomain-like,233-301,Brain
P21952,PO3F1_MOUSE,46689,Homeodomain-like,334-399,Brain
P70396,DLX5_MOUSE,46689,Homeodomain-like,133-198,Brain
Q04742,EMX1_MOUSE,46689,Homeodomain-like,144-219,Brain
O35085,ARX_MOUSE,46689,Homeodomain-like,326-395,Brain
Q810B3,BSH_MOUSE,46689,Homeodomain-like,88-168,Brain
P63157,BARH1_MOUSE,46689,Homeodomain-like,171-237,Brain
Q04744,EMX2_MOUSE,46689,Homeodomain-like,139-215,Brain
Q6ZQ88,KDM1A_MOUSE,46689,Homeodomain-like,172-278,Brain
Q64317,DLX1_MOUSE,46689,Homeodomain-like,125-190,Brain
Q91ZK4,DMBX1_MOUSE,46689,Homeodomain-like,61-131,Brain
Q61188,EZH2_MOUSE,46689,Homeodomain-like,431-469,Brain
P09022,HXA1_MOUSE,46689,Homeodomain-like,218-285,Brain
P31245,HXA2_MOUSE,46689,Homeodomain-like,126-197,Brain
P42581,HMX3_MOUSE,46689,Homeodomain-like,224-290,Brain
P09026,HXB3_MOUSE,46689,Homeodomain-like,178-251,Brain
P40764,DLX2_MOUSE,46689,Homeodomain-like,146-213,Brain
P48031,GBX2_MOUSE,46689,Homeodomain-like,233-305,Brain
P43687,HMX2_MOUSE,46689,Homeodomain-like,127-207,Brain
P97367,MEIS2_MOUSE,46689,Homeodomain-like,275-346,Brain
Q60954,MEIS1_MOUSE,46689,Homeodomain-like,271-346,Brain
Q9Z0S2,LHX2_MOUSE,46689,Homeodomain-like,257-323,Brain
P27889,HNF1B_MOUSE,46689,Homeodomain-like,223-318,Brain
P61375,LHX5_MOUSE,46689,Homeodomain-like,165-239,Brain
Q02591,GSC_MOUSE,46689,Homeodomain-like,154-222,Brain
P0C1T1,HXB2_MOUSE,46689,Homeodomain-like,127-199,Brain
P09065,HME1_MOUSE,46689,Homeodomain-like,310-370,Brain
Q9JKU8,LMX1A_MOUSE,46689,Homeodomain-like,186-253,Brain
O88609,LMX1B_MOUSE,46689,Homeodomain-like,208-277,Brain
P32114,PAX2_MOUSE,46689,Homeodomain-like,17-139,Brain
P32114,PAX2_MOUSE,46689,Homeodomain-like,236-277,Brain
O35652,LHX8_MOUSE,46689,Homeodomain-like,241-303,Brain
Q9R1R0,LHX6_MOUSE,46689,Homeodomain-like,210-277,Brain
P31315,GSX1_MOUSE,46689,Homeodomain-like,125-204,Brain
P31316,GSX2_MOUSE,46689,Homeodomain-like,190-261,Brain
P63006,LHX1_MOUSE,46689,Homeodomain-like,168-239,Brain
Q61658,HESX1_MOUSE,46689,Homeodomain-like,104-172,Brain
P50481,LHX3_MOUSE,46689,Homeodomain-like,157-220,Brain
Q9WU42,NCOR2_MOUSE,46689,Homeodomain-like,414-479,Brain
Q9WU42,NCOR2_MOUSE,46689,Homeodomain-like,608-658,Brain
Q00286,PIT1_MOUSE,46689,Homeodomain-like,211-272,Brain
P43688,NKX26_MOUSE,46689,Homeodomain-like,109-181,Brain
P17919,HXB1_MOUSE,46689,Homeodomain-like,195-259,Brain
P61372,ISL1_MOUSE,46689,Homeodomain-like,170-239,Brain
O08934,UNC4_MOUSE,46689,Homeodomain-like,97-168,Brain
Q60974,NCOR1_MOUSE,46689,Homeodomain-like,422-487,Brain
Q60974,NCOR1_MOUSE,46689,Homeodomain-like,623-674,Brain
O35160,PITX3_MOUSE,46689,Homeodomain-like,45-121,Brain
P70314,PITX1_MOUSE,46689,Homeodomain-like,79-150,Brain
P43120,HHEX_MOUSE,46689,Homeodomain-like,126-197,Brain
P48437,PROX1_MOUSE,46689,Homeodomain-like,577-728,Liver
P52946,PDX1_MOUSE,46689,Homeodomain-like,137-206,Liver
Q61188,EZH2_MOUSE,46689,Homeodomain-like,431-469,Liver
P70351,EZH1_MOUSE,46689,Homeodomain-like,433-472,Liver
P22361,HNF1A_MOUSE,46689,Homeodomain-like,192-287,Liver
P27889,HNF1B_MOUSE,46689,Homeodomain-like,223-318,Liver
O08755,HNF6_MOUSE,46689,Homeodomain-like,385-456,Liver
Q61670,HLX_MOUSE,46689,Homeodomain-like,256-330,Liver
Q6XBJ3,ONEC2_MOUSE,46689,Homeodomain-like,427-492,Liver
P43120,HHEX_MOUSE,46689,Homeodomain-like,126-197,Liver
Q62232,SIX2_MOUSE,46689,Homeodomain-like,122-193,Kidney
Q62231,SIX1_MOUSE,46689,Homeodomain-like,122-193,Kidney
P48437,PROX1_MOUSE,46689,Homeodomain-like,577-728,Kidney
P31361,PO3F3_MOUSE,46689,Homeodomain-like,400-462,Kidney
P41778,PBX1_MOUSE,46689,Homeodomain-like,233-301,Kidney
Q61321,SIX4_MOUSE,46689,Homeodomain-like,214-281,Kidney
P53564,CUX1_MOUSE,46689,Homeodomain-like,1233-1297,Kidney
P09024,HXB7_MOUSE,46689,Homeodomain-like,125-197,Kidney
P31313,HXC11_MOUSE,46689,Homeodomain-like,209-291,Kidney
P31311,HXA11_MOUSE,46689,Homeodomain-like,220-301,Kidney
P23813,HXD11_MOUSE,46689,Homeodomain-like,241-311,Kidney
P81068,IRX1_MOUSE,46689,Homeodomain-like,132-193,Kidney
P27889,HNF1B_MOUSE,46689,Homeodomain-like,223-318,Kidney
P81066,IRX2_MOUSE,46689,Homeodomain-like,117-182,Kidney
P81067,IRX3_MOUSE,46689,Homeodomain-like,135-198,Kidney
Q00288,PAX8_MOUSE,46689,Homeodomain-like,11-133,Kidney
P32114,PAX2_MOUSE,46689,Homeodomain-like,17-139,Kidney
P32114,PAX2_MOUSE,46689,Homeodomain-like,236-277,Kidney
P63006,LHX1_MOUSE,46689,Homeodomain-like,168-239,Kidney
Q8CGV9,TSH3_MOUSE,46689,Homeodomain-like,894-961,Kidney
P97436,NKX31_MOUSE,46689,Homeodomain-like,113-184,Kidney
Q62231,SIX1_MOUSE,46689,Homeodomain-like,122-193,Blood
P63015,PAX6_MOUSE,46689,Homeodomain-like,6-129,Blood
P63015,PAX6_MOUSE,46689,Homeodomain-like,191-269,Blood
P63013,PRRX1_MOUSE,46689,Homeodomain-like,90-157,Blood
P50220,NKX21_MOUSE,46689,Homeodomain-like,139-221,Blood
P48437,PROX1_MOUSE,46689,Homeodomain-like,577-728,Blood
P02830,HXA7_MOUSE,46689,Homeodomain-like,117-189,Blood
P97474,PITX2_MOUSE,46689,Homeodomain-like,78-149,Blood
P32443,MEOX2_MOUSE,46689,Homeodomain-like,170-244,Blood
P97458,PROP1_MOUSE,46689,Homeodomain-like,60-128,Blood
Q06348,PRRX2_MOUSE,46689,Homeodomain-like,86-157,Blood
P70390,SHOX2_MOUSE,46689,Homeodomain-like,136-202,Blood
Q8R1H0,HOP_MOUSE,46689,Homeodomain-like,9-66,Blood
P43241,CDX2_MOUSE,46689,Homeodomain-like,174-245,Blood
Q62424,HXA13_MOUSE,46689,Homeodomain-like,300-377,Blood
P09022,HXA1_MOUSE,46689,Homeodomain-like,218-285,Blood
P02831,HXA3_MOUSE,46689,Homeodomain-like,174-252,Blood
P09026,HXB3_MOUSE,46689,Homeodomain-like,178-251,Blood
P48031,GBX2_MOUSE,46689,Homeodomain-like,233-305,Blood
Q60954,MEIS1_MOUSE,46689,Homeodomain-like,271-346,Blood
P09021,HXA5_MOUSE,46689,Homeodomain-like,179-254,Blood
