vFamilyID,vSuperfamily,vSCOP
PB2 (160453),PB2 C-terminal domain-like,688-756
PB1 (56672),DNA/RNA polymerases,211-499
PB1-F2,No SCOP Domain Found,
PA,No SCOP Domain Found,
HA (58064),Influenza hemagglutinin (stalk),345-519
NP (161003),flu NP-like,22-489
M2,No SCOP Domain Found,
NS2/NEP (101156),"Nonstructural protein ns2, Nep, M1-binding domain",63-116
