TaxonomyID,Segment,UniProt_ID,vFamilyID,vSuperfamily,vSCOP
387139,PB2,I6T1Z7,160453,PB2 C-terminal domain-like,688-756
542615,PB2,D6NEP4,160453,PB2 C-terminal domain-like,689-756
476294,PB2,B6A6V1,160453,PB2 C-terminal domain-like,688-756
504904,PB2,D5F1Q4,160453,PB2 C-terminal domain-like,688-756
1460490,PB2,W8NQ94,160453,PB2 C-terminal domain-like,688-756
641501,PB2,C3W5R8,160453,PB2 C-terminal domain-like,688-756
641809,PB2,C3W5X5,160453,PB2 C-terminal domain-like,688-756
542846,PB2,B4ZGL8,160453,PB2 C-terminal domain-like,688-756
2026012,PB2,A0A2D0YP78,160453,PB2 C-terminal domain-like,688-756
430432,PB2,D1MKX6,160453,PB2 C-terminal domain-like,688-756
432073,PB2,Q5DLC1,160453,PB2 C-terminal domain-like,688-756
251307,PB2,Q6VE62,160453,PB2 C-terminal domain-like,697-765
560581,PB2,L7NBL6,160453,PB2 C-terminal domain-like,688-756
1954199,PB2,A0A1X9JIH0,160453,PB2 C-terminal domain-like,688-756
320306,PB2,Q1W0Y6,160453,PB2 C-terminal domain-like,688-756
1608684,PB2,A0A109NPG8,160453,PB2 C-terminal domain-like,688-756
1608679,PB2,A0A0X7YXR3,160453,PB2 C-terminal domain-like,688-756
1608681,PB2,A0A0X7YVT3,160453,PB2 C-terminal domain-like,688-756
274827,PB2,Q6E3N4,160453,PB2 C-terminal domain-like,688-756
482239,PB2,B0Z5J7,160453,PB2 C-terminal domain-like,688-756
274837,PB2,Q6E3M4,160453,PB2 C-terminal domain-like,688-756
482240,PB2,B0Z5K8,160453,PB2 C-terminal domain-like,688-756
274838,PB2,Q6E3M3,160453,PB2 C-terminal domain-like,688-756
274840,PB2,Q6E3M1,160453,PB2 C-terminal domain-like,688-756
1503700,PB2,A0A2H4C080,160453,PB2 C-terminal domain-like,688-756
329182,PB2,Q0A3W6,160453,PB2 C-terminal domain-like,688-756
307622,PB2,Q5EML9,160453,PB2 C-terminal domain-like,688-756
385580,PB2,Q20P16,160453,PB2 C-terminal domain-like,688-756
326490,PB2,Q4H2D6,160453,PB2 C-terminal domain-like,688-756
1855218,PB2,A0A1B0Y3Z6,160453,PB2 C-terminal domain-like,688-756
1923885,PB2,A0A1P8D5H2,160453,PB2 C-terminal domain-like,688-756
367120,PB2,Q82573,160453,PB2 C-terminal domain-like,688-756
1608688,PB2,A0A0X7YPX4,160453,PB2 C-terminal domain-like,688-756
1612661,PB2,A0A0D3S062,160453,PB2 C-terminal domain-like,688-756
872290,PB2,G9B9D5,160453,PB2 C-terminal domain-like,688-756
710473,PB2,D8X0E6,160453,PB2 C-terminal domain-like,688-756
506350,PB2,Q91MB1,160453,PB2 C-terminal domain-like,688-756
130763,PB2,O56266,160453,PB2 C-terminal domain-like,688-756
107423,PB2,Q9INN9,160453,PB2 C-terminal domain-like,688-756
88104,PB2,Q9IP64,160453,PB2 C-terminal domain-like,688-756
680692,PB2,Q9IP63,160453,PB2 C-terminal domain-like,688-756
107424,PB2,Q9IBY8,160453,PB2 C-terminal domain-like,688-756
155222,PB2,Q91TX7,160453,PB2 C-terminal domain-like,87-106
155223,PB2,Q91TX6,160453,PB2 C-terminal domain-like,88-106
88103,PB2,Q91TY2,160453,PB2 C-terminal domain-like,688-756
155219,PB2,Q91TY1,160453,PB2 C-terminal domain-like,688-756
155220,PB2,Q91TY0,160453,PB2 C-terminal domain-like,688-756
88097,PB2,Q91TX9,160453,PB2 C-terminal domain-like,688-756
644289,PB2,C4RTH2,160453,PB2 C-terminal domain-like,688-756
1429810,PB2,V9TK12,160453,PB2 C-terminal domain-like,688-756
1429812,PB2,V9TIV5,160453,PB2 C-terminal domain-like,688-756
990089,PB2,M9QW72,160453,PB2 C-terminal domain-like,688-756
1494073,PB2,A0A088CC44,160453,PB2 C-terminal domain-like,688-756
